zipcode,median_val
0,8546.0
1,10457.0
2,10055.0
3,11326.0
4,10804.0
5,10273.0
6,10625.0
7,10330.5
8,10352.0
9,11766.0
10,9490.0
11,8904.0
12,9867.5
13,9467.5
14,8959.0
15,10045.5
16,10621.0
17,6770.0
18,10464.0
19,7070.0
20,8914.0
21,6905.5
22,10209.5
23,9010.0
24,21593.0
25,9590.0
26,6570.0
27,12300.0
28,23383.0
29,13212.5
30,13766.0
31,9090.0
32,11435.0
33,10035.0
34,11876.0
35,5600.0
36,44241.0
37,44635.5
38,11310.0
39,7316.0
40,18419.0
41,8766.0
42,4535.0
43,6020.0
44,10806.0
45,5010.0
46,13085.0
47,11420.0
48,6786.0
49,10302.5
50,7320.0
51,7085.0
52,5355.0
53,10792.0
54,11117.0
55,12706.0
56,39702.0
57,11209.0
58,7623.0
59,6667.5
60,5059.0
61,5520.0
62,13912.5
63,5590.0
64,15060.0
65,13230.0
66,6867.5
67,15546.0
68,13861.5
69,21486.0
