feature,order_val
98002,0
98168,1
98032,2
98001,3
98188,4
98198,5
98003,6
98023,7
98148,8
98022,9
98030,10
98178,11
98031,12
98146,13
98055,14
98042,15
98092,16
98106,17
98058,18
98108,19
98038,20
98118,21
98155,22
98133,23
98010,24
98056,25
98126,26
98166,27
98014,28
98019,29
98045,30
98125,31
98059,32
98034,33
98028,34
98144,35
98070,36
98024,37
98011,38
98136,39
98072,40
98065,41
98107,42
98117,43
98008,44
98103,45
98027,46
98007,47
98116,48
98177,49
98029,50
98115,51
98122,52
98052,53
98053,54
98074,55
98077,56
98033,57
98199,58
98105,59
98102,60
98109,61
98075,62
98119,63
98005,64
98006,65
98112,66
98040,67
98004,68
98039,69
